employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
47265,Procurement,region_2,Master's & above,m,other,1,43,2,7,0,0,70
35994,Technology,region_24,Master's & above,f,other,1,37,1,8,0,0,80
61705,Analytics,region_28,Bachelor's,m,sourcing,1,34,5,7,0,0,90
50057,Technology,region_16,Bachelor's,m,other,1,36,1,10,0,0,82
11693,HR,region_29,Bachelor's,m,other,1,29,,1,0,0,50
54500,Finance,region_2,Bachelor's,m,other,1,30,4,2,1,0,60
65294,Technology,region_22,Bachelor's,m,other,1,26,5,2,1,1,78
27345,Operations,region_15,Bachelor's,f,sourcing,1,31,4,7,1,0,63
41772,Procurement,region_15,Bachelor's,m,other,1,37,5,10,1,0,67
73099,Technology,region_2,Master's & above,m,sourcing,1,31,3,4,0,0,74
13502,Sales & Marketing,region_2,Bachelor's,m,other,1,42,4,12,0,0,53
76161,Operations,region_2,Bachelor's,f,sourcing,1,45,4,15,1,0,60
20543,Operations,region_21,Bachelor's,m,other,1,27,2,3,0,0,57
46102,Analytics,region_7,Bachelor's,m,other,2,28,5,3,0,0,88
50550,Analytics,region_15,Bachelor's,m,sourcing,1,28,2,2,0,0,80
72540,Sales & Marketing,region_14,,m,other,1,36,3,7,0,0,45
57066,Sales & Marketing,region_22,,m,other,1,30,2,4,1,0,51
15911,Analytics,region_29,Bachelor's,m,sourcing,1,29,3,5,1,0,85
17056,Operations,region_31,Bachelor's,m,other,1,42,3,6,0,0,58
3880,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,41,3,3,0,0,49
39290,R&D,region_22,Master's & above,m,sourcing,1,35,3,2,0,0,86
22061,Operations,region_7,Master's & above,m,other,1,43,5,3,1,0,58
19564,HR,region_7,Bachelor's,m,other,1,36,5,8,1,0,51
22320,Sales & Marketing,region_22,Bachelor's,m,other,3,31,1,7,0,0,49
53175,Finance,region_13,Bachelor's,m,other,2,34,3,2,1,0,62
35279,Operations,region_4,Master's & above,m,sourcing,1,39,2,9,0,0,63
21812,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,38,1,10,0,0,46
27874,Finance,region_28,Master's & above,m,other,1,30,1,7,0,0,56
9648,Legal,region_22,Bachelor's,f,other,1,31,3,7,0,0,60
59690,Procurement,region_13,Bachelor's,f,other,1,35,2,2,0,0,65
56186,Procurement,region_29,Bachelor's,f,sourcing,1,32,1,6,0,0,69
11765,Operations,region_2,Bachelor's,f,referred,1,31,4,4,1,0,62
73031,Technology,region_2,Bachelor's,f,sourcing,1,34,4,6,1,0,80
25910,Operations,region_2,Bachelor's,f,other,1,48,2,17,0,0,59
13368,Operations,region_2,Master's & above,m,referred,2,34,4,8,0,0,60
3739,HR,region_26,Bachelor's,f,sourcing,1,27,1,4,0,0,46
36576,Finance,region_30,Bachelor's,m,other,1,25,2,3,0,0,58
41578,Operations,region_14,Bachelor's,m,other,1,35,4,5,1,0,59
45134,Procurement,region_7,Master's & above,f,sourcing,1,36,5,9,0,0,81
33939,Sales & Marketing,region_22,Bachelor's,f,other,1,29,,1,1,0,55
70241,Procurement,region_22,Bachelor's,f,other,1,31,3,6,1,0,72
43932,Operations,region_2,Bachelor's,f,sourcing,1,27,5,5,1,0,60
50165,Procurement,region_2,Master's & above,m,other,1,36,2,2,0,0,69
66816,Technology,region_2,Bachelor's,f,sourcing,1,29,5,3,1,0,83
28556,Procurement,region_22,Master's & above,f,other,1,33,2,4,0,0,73
57803,Procurement,region_8,Master's & above,m,sourcing,1,39,2,11,1,0,71
40834,Operations,region_2,Bachelor's,f,other,1,35,3,3,0,0,59
61885,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,39,3,6,0,1,65
28268,Procurement,region_23,Bachelor's,f,other,1,29,,1,0,0,69
49092,Operations,region_15,,m,sourcing,1,32,5,2,1,0,58
3496,Analytics,region_4,Master's & above,m,sourcing,1,31,2,6,0,0,82
35737,Procurement,region_13,Bachelor's,m,sourcing,1,35,3,5,1,0,70
28187,Sales & Marketing,region_28,Master's & above,f,other,1,31,3,1,0,0,47
46054,HR,region_22,Bachelor's,f,sourcing,1,30,,1,1,1,48
46065,Analytics,region_22,Bachelor's,m,other,1,27,5,2,1,0,85
50219,Procurement,region_2,Bachelor's,f,sourcing,1,50,4,7,0,0,64
53633,Sales & Marketing,region_20,Bachelor's,f,other,1,29,5,6,0,0,50
15913,Sales & Marketing,region_15,Master's & above,m,sourcing,1,29,3,6,0,0,51
77755,Sales & Marketing,region_20,Bachelor's,m,other,2,26,2,3,0,0,52
27574,Technology,region_23,Bachelor's,m,other,1,34,4,5,1,0,79
52238,HR,region_32,Bachelor's,m,sourcing,1,30,3,4,0,0,48
67613,Sales & Marketing,region_2,Master's & above,m,sourcing,1,34,3,8,0,0,47
12440,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,5,6,1,0,50
73864,Operations,region_26,Bachelor's,m,other,1,31,3,6,0,0,60
59094,Analytics,region_22,Master's & above,m,other,1,34,4,9,0,0,86
26382,Sales & Marketing,region_2,,m,referred,1,25,5,2,0,0,46
74467,Sales & Marketing,region_2,Bachelor's,m,other,2,40,4,3,0,0,50
940,Sales & Marketing,region_2,,m,other,1,32,1,7,0,1,48
55137,Operations,region_15,Bachelor's,f,other,1,37,4,10,0,0,60
18216,HR,region_22,Bachelor's,m,other,1,28,5,3,0,0,53
59048,Sales & Marketing,region_28,Bachelor's,m,other,1,31,5,4,0,0,50
56833,Sales & Marketing,region_21,Bachelor's,m,other,1,41,5,12,1,0,52
53801,Operations,region_4,Bachelor's,m,other,1,45,5,9,1,0,55
42149,Operations,region_7,Bachelor's,m,other,1,54,3,2,0,0,60
75572,Technology,region_2,Bachelor's,m,other,2,34,3,6,0,0,78
70911,Sales & Marketing,region_22,Bachelor's,m,other,1,36,3,2,0,0,56
33280,Sales & Marketing,region_30,Bachelor's,m,other,1,42,2,5,0,0,52
40105,Finance,region_12,Bachelor's,m,other,1,28,4,2,1,0,61
32806,Technology,region_2,Master's & above,f,sourcing,1,33,4,7,0,0,82
45951,Operations,region_31,Bachelor's,f,sourcing,2,30,3,5,0,0,56
7298,Operations,region_2,Bachelor's,m,other,1,44,4,14,1,0,60
46886,Procurement,region_2,Master's & above,m,other,1,38,4,7,0,0,74
38709,Operations,region_23,Master's & above,m,sourcing,2,38,5,9,1,0,60
48075,Sales & Marketing,region_20,Bachelor's,m,other,1,30,4,6,0,0,45
5044,Legal,region_7,Bachelor's,f,other,1,32,3,4,0,0,61
18250,Sales & Marketing,region_2,Master's & above,m,sourcing,1,46,1,15,0,0,49
78180,Procurement,region_22,Bachelor's,m,other,4,28,,1,1,0,67
64192,Analytics,region_25,Bachelor's,m,sourcing,2,29,4,4,0,0,84
25635,Operations,region_13,Master's & above,f,other,1,49,5,9,1,0,56
49171,Analytics,region_11,Bachelor's,m,sourcing,3,31,3,3,1,0,81
57686,Operations,region_7,Bachelor's,m,sourcing,2,32,5,7,0,0,64
16260,Analytics,region_2,Bachelor's,m,other,2,39,5,8,1,0,85
13078,Finance,region_16,Bachelor's,m,other,1,31,2,2,0,0,62
35384,Operations,region_4,Master's & above,m,other,1,37,1,3,0,0,55
50299,Procurement,region_22,Bachelor's,m,other,3,28,,1,0,0,70
4711,Operations,region_9,Bachelor's,m,sourcing,1,28,3,2,0,0,60
65189,Operations,region_29,Bachelor's,f,sourcing,1,28,3,4,0,0,60
72191,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,42,1,7,0,0,48
9034,Operations,region_32,Bachelor's,f,other,1,38,2,7,0,0,59
6648,Technology,region_2,Bachelor's,m,sourcing,1,41,3,4,0,0,80
10682,Procurement,region_10,Master's & above,f,sourcing,1,36,5,7,1,0,68
52276,Sales & Marketing,region_2,Bachelor's,f,sourcing,3,29,1,5,0,0,48
55362,Sales & Marketing,region_17,Bachelor's,m,other,1,30,3,5,1,0,55
66248,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,57,4,3,0,0,50
30887,Sales & Marketing,region_10,Master's & above,m,sourcing,1,57,4,7,0,0,47
60419,Operations,region_22,Bachelor's,m,referred,1,29,3,5,0,0,58
71647,Analytics,region_15,Bachelor's,m,other,1,30,5,4,1,0,82
6303,Procurement,region_11,Master's & above,m,sourcing,1,35,5,8,1,0,68
62747,Analytics,region_15,Bachelor's,m,sourcing,1,30,3,2,0,0,84
38208,Sales & Marketing,region_28,Bachelor's,m,other,1,28,,1,0,0,50
51245,Procurement,region_2,Bachelor's,f,other,2,59,4,31,0,0,70
50084,Finance,region_7,Master's & above,m,other,1,40,3,7,0,0,60
67968,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,34,3,7,0,0,52
28438,Procurement,region_10,Master's & above,m,other,2,44,3,3,0,0,70
9907,Operations,region_31,Bachelor's,m,sourcing,1,28,2,2,0,0,58
2144,Analytics,region_22,Bachelor's,m,other,1,31,3,6,1,0,84
4811,Technology,region_27,Bachelor's,f,other,1,29,2,2,0,0,82
22158,Operations,region_15,Master's & above,m,sourcing,1,49,5,17,1,0,56
62119,Sales & Marketing,region_34,Bachelor's,m,other,1,29,,1,1,0,42
35674,Technology,region_2,Master's & above,m,other,1,33,2,8,0,0,83
76990,Technology,region_10,Bachelor's,m,other,2,31,4,3,1,0,84
45552,Procurement,region_20,Master's & above,f,other,1,37,5,9,0,1,95
59137,Sales & Marketing,region_26,Bachelor's,f,other,2,30,1,4,0,0,46
4659,Operations,region_15,Master's & above,m,other,1,51,4,7,1,0,58
15599,Procurement,region_27,Bachelor's,f,other,1,25,,1,0,0,69
71019,Operations,region_7,Bachelor's,f,other,1,39,5,3,1,0,65
28137,Analytics,region_22,Bachelor's,m,other,1,26,,1,1,0,79
66038,Operations,region_22,Master's & above,f,other,1,43,3,4,1,0,58
60909,Sales & Marketing,region_2,Master's & above,m,sourcing,1,57,5,16,1,0,49
34506,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,33,3,10,0,0,53
61056,Sales & Marketing,region_20,Master's & above,m,sourcing,1,41,1,7,0,0,44
18395,Sales & Marketing,region_28,Bachelor's,m,other,2,37,3,2,0,0,49
24220,Operations,region_2,Bachelor's,m,sourcing,1,57,3,3,0,0,60
51395,Sales & Marketing,region_2,Master's & above,f,sourcing,2,35,3,9,0,0,49
4221,Sales & Marketing,region_16,,m,other,1,33,5,3,1,0,53
69698,Operations,region_15,Bachelor's,m,other,1,47,1,4,0,0,57
50320,Technology,region_2,Bachelor's,m,sourcing,1,27,5,3,1,0,82
57529,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,43,1,15,0,0,55
7907,Sales & Marketing,region_15,Master's & above,m,sourcing,1,31,2,5,0,0,51
56765,Analytics,region_22,,m,other,1,26,,1,1,0,87
38332,Technology,region_22,Bachelor's,f,sourcing,1,28,,1,1,0,82
20805,Sales & Marketing,region_11,Bachelor's,m,other,1,27,3,3,1,0,51
26880,Operations,region_2,Bachelor's,m,other,1,47,3,18,0,0,60
5083,Procurement,region_7,Below Secondary,f,other,1,23,3,2,1,0,68
25740,Legal,region_23,Master's & above,m,sourcing,1,43,5,3,1,0,58
27799,Sales & Marketing,region_2,,m,sourcing,2,21,1,2,0,0,47
51213,Sales & Marketing,region_22,Master's & above,m,other,3,41,3,7,0,0,51
31513,Technology,region_13,Bachelor's,m,other,2,43,3,4,1,0,82
56392,Procurement,region_5,Master's & above,f,other,1,33,3,6,0,0,67
41119,Sales & Marketing,region_28,,m,other,1,34,4,7,0,0,48
56190,Technology,region_2,Bachelor's,f,other,1,46,3,4,0,0,80
70677,Operations,region_15,Bachelor's,m,referred,1,38,5,3,1,0,60
15974,Finance,region_2,Bachelor's,m,sourcing,1,30,5,4,1,0,57
17977,Analytics,region_14,Bachelor's,m,sourcing,1,26,3,2,0,0,89
48067,Sales & Marketing,region_23,Bachelor's,f,sourcing,1,28,5,4,0,0,53
72498,Technology,region_23,Bachelor's,m,other,3,28,,1,0,0,80
18372,Finance,region_2,Bachelor's,f,sourcing,1,31,3,3,0,0,58
72293,Sales & Marketing,region_15,Bachelor's,m,other,1,29,2,3,0,0,47
49866,Sales & Marketing,region_2,Master's & above,m,other,1,31,3,6,1,0,95
44781,Sales & Marketing,region_4,Bachelor's,m,other,1,27,,1,1,0,47
42245,Procurement,region_22,Bachelor's,f,other,1,33,3,3,1,0,73
63528,Technology,region_7,Master's & above,f,other,1,37,2,2,0,0,79
21921,Technology,region_2,Bachelor's,f,sourcing,1,36,2,9,0,0,84
44760,Operations,region_22,Bachelor's,f,other,1,30,3,4,0,0,61
38526,Operations,region_12,Bachelor's,f,other,1,32,4,7,0,0,60
6828,Operations,region_8,Bachelor's,m,sourcing,1,27,,1,1,0,62
5800,Technology,region_16,Below Secondary,m,other,1,22,,1,0,0,81
31894,Finance,region_22,Bachelor's,m,other,1,46,3,16,0,0,58
44524,Sales & Marketing,region_10,Master's & above,m,sourcing,1,34,4,5,0,0,51
778,R&D,region_27,,m,other,2,28,3,1,0,0,81
13603,Procurement,region_26,Bachelor's,m,other,1,28,1,4,0,0,71
53970,Operations,region_22,Bachelor's,f,other,1,25,5,3,1,0,59
46502,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,24,3,3,0,0,52
56464,Technology,region_2,Bachelor's,f,sourcing,1,34,4,7,1,0,77
5906,Sales & Marketing,region_2,Bachelor's,f,sourcing,2,60,3,18,0,0,54
21439,Operations,region_22,Bachelor's,m,other,1,48,5,13,0,0,75
74959,HR,region_15,Bachelor's,m,other,1,32,4,10,0,0,47
39821,HR,region_26,Bachelor's,f,sourcing,1,28,3,6,0,0,52
20790,Sales & Marketing,region_10,Bachelor's,m,sourcing,1,31,2,7,0,1,50
33292,Operations,region_15,Bachelor's,f,sourcing,1,46,3,16,0,0,63
37840,Operations,region_19,Bachelor's,f,other,1,41,4,10,0,0,62
58307,Sales & Marketing,region_2,Bachelor's,m,other,4,29,3,7,0,0,46
64989,Procurement,region_2,Master's & above,f,other,1,55,5,27,1,0,70
67914,Procurement,region_13,Bachelor's,f,other,1,30,1,4,0,0,70
31673,Procurement,region_26,Bachelor's,f,other,1,40,4,10,0,0,69
2075,Legal,region_31,Bachelor's,m,sourcing,1,39,3,4,0,0,63
44021,Sales & Marketing,region_21,Bachelor's,m,sourcing,1,31,1,3,0,0,49
19493,Technology,region_2,Bachelor's,m,other,2,32,3,5,0,0,78
71887,Finance,region_2,Bachelor's,m,sourcing,4,35,3,6,0,0,62
11613,Sales & Marketing,region_32,Bachelor's,m,other,2,27,5,2,0,0,55
63939,R&D,region_22,Master's & above,m,other,1,37,4,10,0,0,86
29890,Operations,region_29,Bachelor's,m,sourcing,1,33,1,4,0,0,59
28077,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,31,5,7,0,0,52
20250,R&D,region_32,Master's & above,m,other,1,34,4,8,0,0,81
47075,Technology,region_14,Master's & above,f,sourcing,1,34,4,7,1,0,79
71739,Sales & Marketing,region_11,Bachelor's,m,other,1,31,4,2,1,0,54
20448,Technology,region_7,Master's & above,m,other,1,38,4,3,0,0,78
49717,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,41,2,8,0,0,50
59593,Procurement,region_11,Master's & above,m,other,1,41,5,15,1,0,70
66590,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,25,,1,0,0,45
