employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
12469,Procurement,region_15,Bachelor's,m,other,1,44,5.0,5,1,0,72,0
37758,Sales & Marketing,region_15,Bachelor's,m,other,2,33,1.0,10,0,0,50,0
40956,Finance,region_29,Bachelor's,m,other,1,29,,1,1,0,58,0
42248,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,43,5.0,7,0,0,47,0
33534,Sales & Marketing,region_25,Bachelor's,m,other,1,27,3.0,4,1,0,50,0
19615,Sales & Marketing,region_7,Bachelor's,f,other,1,32,5.0,3,1,0,48,0
22978,Sales & Marketing,region_15,Bachelor's,m,other,1,30,1.0,6,0,0,51,0
14083,Sales & Marketing,region_10,Master's & above,m,other,1,50,1.0,20,0,0,46,0
75189,Operations,region_13,Bachelor's,m,sourcing,1,42,4.0,6,0,0,59,0
74921,R&D,region_22,Bachelor's,m,sourcing,1,32,1.0,5,0,0,86,0
22630,Finance,region_15,Bachelor's,m,sourcing,1,32,4.0,6,0,0,61,0
9967,Procurement,region_19,Bachelor's,f,other,1,35,3.0,10,0,0,68,0
38630,Finance,region_2,Bachelor's,m,other,2,31,1.0,5,0,0,62,0
70430,HR,region_4,Master's & above,f,other,1,35,5.0,4,0,0,47,0
32023,Analytics,region_11,Bachelor's,m,other,1,26,5.0,3,1,0,82,0
75667,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,31,3.0,5,1,0,45,1
34335,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,1.0,3,0,0,50,0
1859,Sales & Marketing,region_13,Master's & above,m,sourcing,1,50,5.0,19,0,0,41,0
45806,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,26,5.0,2,0,0,48,0
29223,Sales & Marketing,region_31,,m,other,1,27,3.0,3,0,0,47,0
46493,Operations,region_4,Bachelor's,m,other,1,35,4.0,5,0,0,60,0
31389,Finance,region_5,Bachelor's,m,sourcing,1,34,5.0,2,1,0,58,0
64584,Sales & Marketing,region_2,Master's & above,m,other,1,47,4.0,14,0,0,46,0
60077,Sales & Marketing,region_9,Bachelor's,m,other,1,33,2.0,3,1,1,47,0
72751,Technology,region_5,Bachelor's,m,referred,1,25,4.0,3,0,0,81,0
21993,Technology,region_15,Bachelor's,f,other,1,32,1.0,5,0,0,81,0
7545,Sales & Marketing,region_9,Bachelor's,m,other,4,30,3.0,5,0,0,51,0
77641,Sales & Marketing,region_7,Bachelor's,m,other,1,58,4.0,17,0,0,51,0
11314,Operations,region_7,Bachelor's,f,other,1,42,1.0,5,0,0,62,0
69614,Analytics,region_7,Bachelor's,m,other,1,33,4.0,3,0,0,82,0
7377,Sales & Marketing,region_2,,m,other,1,40,3.0,10,0,0,51,0
39874,Analytics,region_22,Bachelor's,m,sourcing,1,28,5.0,2,0,0,92,1
73102,Sales & Marketing,region_2,Bachelor's,m,other,1,38,5.0,11,1,0,58,1
38471,Sales & Marketing,region_25,Master's & above,m,sourcing,2,37,1.0,4,0,0,53,0
47987,Procurement,region_2,Bachelor's,f,sourcing,1,34,5.0,7,1,0,71,1
21890,Operations,region_2,Master's & above,f,other,1,58,4.0,5,1,0,62,0
48115,Operations,region_22,Bachelor's,m,other,1,37,3.0,3,0,0,62,0
66283,Technology,region_2,Bachelor's,m,other,1,39,3.0,11,0,0,78,0
64619,Analytics,region_26,Bachelor's,m,other,1,34,3.0,9,0,0,82,0
32112,Sales & Marketing,region_26,Bachelor's,m,other,1,44,2.0,16,0,0,54,0
58183,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,3.0,7,1,0,45,0
63521,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,44,5.0,3,0,0,42,0
72662,Procurement,region_2,Bachelor's,f,sourcing,1,57,3.0,15,0,0,70,0
50992,R&D,region_2,Master's & above,m,other,1,39,5.0,3,0,0,84,0
46639,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,32,5.0,8,1,0,46,1
37833,Legal,region_22,Bachelor's,m,other,1,31,1.0,5,1,0,59,0
48912,Sales & Marketing,region_6,Bachelor's,f,other,1,28,,1,1,0,43,0
78216,Procurement,region_2,Bachelor's,f,other,1,26,2.0,3,1,0,70,1
20043,Procurement,region_2,Bachelor's,m,other,1,28,5.0,2,1,0,69,0
66161,Sales & Marketing,region_27,Bachelor's,m,other,1,27,,1,0,0,51,0
27713,Sales & Marketing,region_14,Bachelor's,m,other,1,34,5.0,8,1,0,51,0
48620,Operations,region_31,,m,other,1,30,5.0,6,1,0,57,0
69494,Analytics,region_7,Master's & above,m,sourcing,2,34,5.0,3,1,0,85,0
3646,Operations,region_16,Bachelor's,f,other,2,30,,1,0,0,63,0
38469,Technology,region_7,Bachelor's,m,sourcing,2,43,3.0,6,0,0,81,0
67525,Operations,region_2,Master's & above,f,other,2,40,4.0,6,1,0,95,1
47352,Operations,region_2,Master's & above,m,other,1,32,5.0,6,1,0,60,0
50177,Technology,region_7,Bachelor's,f,other,1,33,5.0,9,0,0,81,0
39188,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,25,,1,0,0,53,0
17398,Procurement,region_2,Bachelor's,f,other,1,34,1.0,10,0,0,70,0
72453,Sales & Marketing,region_2,Master's & above,m,other,1,35,3.0,5,0,0,52,0
39914,Technology,region_2,Master's & above,m,other,1,31,5.0,4,1,0,82,0
36017,Sales & Marketing,region_12,Bachelor's,m,other,1,26,4.0,1,1,0,96,1
42740,Sales & Marketing,region_13,Master's & above,f,other,3,32,1.0,9,0,0,49,0
22501,Procurement,region_7,Master's & above,f,sourcing,2,38,4.0,10,0,0,74,0
19895,Technology,region_8,Bachelor's,m,sourcing,1,31,5.0,3,1,0,83,0
70143,Procurement,region_22,Master's & above,f,sourcing,3,36,3.0,4,0,0,67,0
68107,Finance,region_22,Bachelor's,m,sourcing,1,30,1.0,4,1,0,59,0
76953,Operations,region_27,Bachelor's,m,other,1,35,3.0,2,0,0,60,0
18008,Finance,region_32,Bachelor's,f,sourcing,1,30,3.0,3,1,0,54,0
40873,Procurement,region_2,Bachelor's,f,sourcing,1,40,4.0,7,0,0,69,0
6218,Procurement,region_2,Bachelor's,m,other,1,36,5.0,8,1,0,72,0
20648,Operations,region_11,Bachelor's,m,other,1,34,3.0,7,0,0,62,0
67276,Technology,region_33,Master's & above,m,other,1,34,3.0,8,0,0,84,0
39984,Technology,region_24,Bachelor's,m,other,1,27,3.0,3,0,0,78,0
47712,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,47,5.0,7,0,0,50,0
31638,R&D,region_22,Bachelor's,m,other,4,31,5.0,2,1,0,82,0
32355,Technology,region_2,Bachelor's,m,sourcing,1,27,1.0,4,0,0,79,0
62624,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,40,3.0,14,1,0,54,1
23430,Sales & Marketing,region_7,Bachelor's,m,other,1,39,4.0,9,0,0,47,0
31786,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,28,3.0,3,0,0,52,0
68636,Sales & Marketing,region_7,Bachelor's,m,other,1,35,5.0,5,1,0,46,0
51323,Operations,region_22,Bachelor's,m,sourcing,1,28,5.0,4,1,0,57,1
7082,Analytics,region_2,Bachelor's,m,other,1,34,3.0,3,0,0,86,0
41650,Operations,region_27,Bachelor's,f,sourcing,1,25,1.0,2,0,0,57,0
77738,Finance,region_2,Bachelor's,m,sourcing,1,39,3.0,4,0,0,61,0
13102,Sales & Marketing,region_31,Bachelor's,m,other,3,27,3.0,2,0,0,52,0
23253,Operations,region_2,Bachelor's,m,sourcing,1,50,4.0,7,0,0,59,0
6283,Operations,region_22,Bachelor's,m,other,1,48,4.0,5,1,1,57,0
60744,Operations,region_2,Bachelor's,f,sourcing,1,35,5.0,10,1,0,58,0
43557,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,3.0,7,1,0,42,0
44717,Sales & Marketing,region_2,,m,other,2,25,2.0,2,0,0,53,0
11404,Analytics,region_26,Bachelor's,m,sourcing,1,29,4.0,4,0,0,85,0
36986,Operations,region_7,Bachelor's,m,other,1,40,3.0,12,1,0,57,0
52405,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,32,5.0,3,1,0,49,1
70401,Operations,region_13,Bachelor's,m,sourcing,1,29,,1,0,0,60,0
49323,Legal,region_20,Bachelor's,m,other,1,31,4.0,5,1,0,62,0
16845,HR,region_31,Bachelor's,f,sourcing,1,29,3.0,2,0,0,53,0
18258,Sales & Marketing,region_1,Bachelor's,m,sourcing,1,28,2.0,4,0,0,50,0
242,Technology,region_2,Master's & above,f,other,1,36,3.0,3,0,0,76,0
70358,Procurement,region_7,Master's & above,m,other,1,47,3.0,18,0,0,69,0
44325,Operations,region_4,Master's & above,m,other,1,26,3.0,2,0,0,62,0
23472,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,33,3.0,7,0,0,49,0
64461,Sales & Marketing,region_2,,f,sourcing,1,22,4.0,1,0,0,52,0
73561,Analytics,region_22,Bachelor's,f,sourcing,1,30,,1,1,0,81,0
37488,Technology,region_2,Bachelor's,m,other,1,24,4.0,2,0,0,81,1
33296,Sales & Marketing,region_5,Master's & above,m,sourcing,1,41,2.0,3,1,0,48,0
14225,Technology,region_31,Bachelor's,m,sourcing,1,47,4.0,15,0,0,76,0
65525,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,42,2.0,12,0,0,47,0
6996,Operations,region_22,Master's & above,f,sourcing,1,35,3.0,8,1,0,63,1
37250,Sales & Marketing,region_2,Master's & above,m,sourcing,1,43,2.0,3,0,0,45,0
64468,Finance,region_2,Bachelor's,m,other,1,32,4.0,4,0,0,60,0
21283,Technology,region_7,Bachelor's,f,sourcing,2,29,1.0,4,0,0,73,0
69579,Operations,region_10,Bachelor's,f,other,1,40,5.0,7,0,0,58,0
55154,Operations,region_11,Bachelor's,f,other,1,28,4.0,2,0,0,57,0
31550,Sales & Marketing,region_15,Bachelor's,m,other,2,28,3.0,3,0,0,47,0
10223,Analytics,region_7,Bachelor's,m,other,2,36,4.0,9,0,0,89,0
16310,Sales & Marketing,region_15,Bachelor's,f,sourcing,1,38,3.0,7,1,0,49,0
10705,Procurement,region_23,Master's & above,f,other,1,31,3.0,6,0,0,70,0
42380,Operations,region_22,Bachelor's,m,other,1,37,4.0,4,1,0,61,0
3541,Operations,region_13,Bachelor's,m,other,1,32,5.0,7,1,0,61,0
9691,Operations,region_34,Bachelor's,f,other,1,28,5.0,5,1,0,57,1
46940,Finance,region_26,Bachelor's,m,other,1,28,5.0,4,0,0,61,0
76318,Sales & Marketing,region_2,Bachelor's,m,other,1,25,,1,0,0,47,0
47687,Technology,region_26,Bachelor's,m,sourcing,1,37,1.0,4,0,0,80,0
56861,Operations,region_2,Bachelor's,m,sourcing,1,40,1.0,8,0,0,59,0
75759,Operations,region_4,Bachelor's,f,sourcing,1,39,3.0,5,1,0,58,1
41967,Procurement,region_4,Bachelor's,m,other,1,29,2.0,6,0,0,70,0
667,Technology,region_15,Master's & above,m,other,1,41,2.0,15,0,0,83,0
17530,HR,region_17,Bachelor's,m,other,1,28,,1,1,0,49,1
27420,Procurement,region_2,Master's & above,f,sourcing,1,40,3.0,7,0,0,68,0
25291,Operations,region_19,Bachelor's,m,other,1,40,5.0,3,1,0,55,1
26800,Procurement,region_2,Master's & above,m,sourcing,1,51,3.0,19,0,0,72,0
51913,Procurement,region_22,Bachelor's,f,sourcing,2,27,5.0,4,1,0,67,0
40032,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,40,4.0,11,0,0,46,0
6121,Operations,region_2,,m,other,1,39,3.0,12,0,0,66,0
37893,Operations,region_2,Master's & above,m,other,1,54,5.0,13,0,0,72,1
25345,Legal,region_2,Bachelor's,m,sourcing,1,46,3.0,6,0,0,60,0
76530,Operations,region_2,Bachelor's,f,other,1,55,2.0,7,0,0,61,0
54618,Sales & Marketing,region_7,Master's & above,m,other,1,46,2.0,18,0,0,46,0
74053,Operations,region_5,Bachelor's,m,other,1,29,4.0,5,1,0,63,0
51619,Technology,region_15,Bachelor's,m,other,1,29,3.0,4,0,0,79,0
73747,HR,region_8,Bachelor's,f,sourcing,2,26,4.0,3,0,0,50,0
35801,HR,region_22,Bachelor's,f,sourcing,1,26,3.0,3,0,0,51,0
64910,Operations,region_22,Bachelor's,f,other,1,28,,1,0,0,64,0
16890,Operations,region_2,Bachelor's,f,sourcing,2,25,3.0,2,0,0,63,0
36167,Procurement,region_2,Bachelor's,m,sourcing,4,30,3.0,2,0,0,67,0
70540,Procurement,region_15,Bachelor's,m,sourcing,1,34,5.0,9,1,0,74,0
62304,Analytics,region_31,Bachelor's,m,other,2,28,,1,1,0,82,0
49218,Analytics,region_22,Bachelor's,m,other,1,27,,1,0,0,83,0
74007,Analytics,region_2,Bachelor's,m,other,3,32,5.0,5,0,0,81,0
45052,Procurement,region_13,Master's & above,f,other,2,40,3.0,12,0,0,68,0
13780,Operations,region_2,Below Secondary,m,other,1,25,2.0,3,0,0,59,0
54287,Technology,region_5,Bachelor's,m,sourcing,1,24,4.0,2,0,0,84,0
36866,Sales & Marketing,region_25,Master's & above,m,other,1,39,5.0,7,1,0,51,0
24046,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,25,3.0,2,0,0,49,0
27080,Operations,region_4,Bachelor's,f,sourcing,1,34,3.0,5,0,0,73,1
16014,Analytics,region_2,,m,sourcing,1,22,5.0,2,0,0,84,0
71201,Procurement,region_23,Master's & above,m,other,1,35,3.0,6,0,0,75,0
29242,Technology,region_24,Master's & above,m,sourcing,1,41,2.0,11,0,0,80,0
23136,Operations,region_27,Master's & above,m,other,1,46,5.0,14,0,0,58,0
57958,Procurement,region_2,Bachelor's,f,referred,1,37,3.0,9,1,0,69,0
53005,Procurement,region_2,Bachelor's,f,other,1,32,4.0,9,0,0,71,0
35660,Analytics,region_4,Bachelor's,m,sourcing,1,29,5.0,4,0,0,84,0
2428,Procurement,region_26,Bachelor's,f,other,1,33,3.0,7,0,0,66,0
44514,Technology,region_30,Master's & above,m,sourcing,1,43,3.0,14,0,0,77,0
72891,Sales & Marketing,region_27,Bachelor's,m,sourcing,3,30,1.0,4,0,0,50,0
68034,Technology,region_31,Bachelor's,m,sourcing,1,23,,1,1,0,77,0
9456,Operations,region_26,Bachelor's,f,other,1,28,5.0,4,1,0,61,1
16160,Technology,region_23,Bachelor's,m,other,1,40,3.0,5,1,1,79,0
12619,Operations,region_2,Bachelor's,f,other,2,40,3.0,7,1,0,56,0
24646,Technology,region_2,Bachelor's,f,other,2,29,2.0,4,0,0,80,0
59859,Operations,region_13,Master's & above,f,other,1,39,4.0,10,0,0,55,0
47456,Sales & Marketing,region_9,Bachelor's,m,other,1,31,,1,0,0,51,0
29717,Procurement,region_22,Master's & above,m,other,2,30,3.0,2,0,0,75,0
9398,Operations,region_19,Bachelor's,m,sourcing,1,39,3.0,10,0,0,58,0
52310,Sales & Marketing,region_2,Master's & above,m,sourcing,1,33,5.0,8,1,0,49,0
67325,Sales & Marketing,region_13,Bachelor's,m,other,1,31,1.0,6,0,0,51,0
58318,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,33,5.0,9,0,0,46,0
74946,Operations,region_13,Bachelor's,f,other,1,42,4.0,7,1,0,60,0
68155,Operations,region_32,Bachelor's,m,sourcing,1,37,5.0,9,0,0,56,0
68013,Sales & Marketing,region_7,Master's & above,m,other,3,37,3.0,10,0,0,49,0
65136,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,27,5.0,2,1,0,45,0
25262,Sales & Marketing,region_13,Master's & above,f,sourcing,1,38,3.0,11,0,0,53,0
39478,Operations,region_22,Bachelor's,f,sourcing,1,28,5.0,5,1,0,61,0
45092,Procurement,region_2,Master's & above,f,sourcing,1,34,5.0,4,1,0,66,0
49219,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,39,3.0,3,1,0,48,1
29926,Technology,region_13,Bachelor's,m,sourcing,1,47,5.0,7,0,0,76,0
50993,Sales & Marketing,region_4,Bachelor's,f,sourcing,1,34,4.0,5,0,0,48,0
31510,Procurement,region_27,Bachelor's,m,other,2,35,3.0,7,0,0,70,0
38783,Operations,region_22,Master's & above,m,sourcing,1,43,5.0,5,1,0,60,0
66074,Procurement,region_11,Bachelor's,f,sourcing,1,36,3.0,9,1,0,71,1
3224,Sales & Marketing,region_26,,m,other,1,34,3.0,4,0,0,44,0
60783,Procurement,region_2,Master's & above,f,referred,1,39,5.0,4,1,0,69,0
27501,Technology,region_10,Master's & above,m,other,1,37,3.0,8,0,0,80,0
36047,Sales & Marketing,region_13,Master's & above,m,sourcing,1,40,1.0,4,0,0,46,0
49223,Sales & Marketing,region_2,Bachelor's,m,other,1,48,5.0,6,0,0,52,0
70317,Technology,region_33,Bachelor's,f,other,1,30,,1,0,0,78,0
17846,Sales & Marketing,region_22,Bachelor's,m,other,1,30,5.0,6,1,0,49,0
68233,Technology,region_2,Bachelor's,m,other,1,35,3.0,3,0,0,91,1
44016,Procurement,region_2,Master's & above,f,sourcing,1,33,4.0,9,1,0,75,0
70529,Sales & Marketing,region_27,Bachelor's,f,sourcing,1,37,1.0,7,0,0,52,0
67222,Sales & Marketing,region_29,Bachelor's,m,other,1,33,1.0,4,0,0,50,0
76584,Finance,region_2,Master's & above,m,sourcing,1,52,3.0,7,1,0,59,0
70691,Technology,region_16,Bachelor's,m,other,1,27,,1,0,1,91,1
64179,Sales & Marketing,region_15,Bachelor's,m,sourcing,2,36,1.0,9,0,0,49,0
2430,Operations,region_10,Bachelor's,m,sourcing,1,35,3.0,5,1,0,59,0
24750,Technology,region_14,Bachelor's,m,sourcing,1,31,3.0,4,0,0,83,0
56140,Technology,region_13,Bachelor's,f,other,1,33,3.0,4,1,0,76,1
1315,Analytics,region_28,,m,other,1,35,3.0,7,0,0,80,1
43095,Finance,region_2,Bachelor's,m,sourcing,1,37,4.0,7,0,0,58,0
53421,Sales & Marketing,region_2,,f,other,1,60,3.0,8,0,0,51,0
29268,Technology,region_33,Bachelor's,m,other,1,31,4.0,4,0,0,77,0
49977,Procurement,region_24,Master's & above,m,other,1,39,3.0,6,0,0,67,0
